time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010443000000	0.312243	0.58034	0	0	0	lidar	1.3735e-321	0.312243	0.58034	0.6	0.6	5.19994	0
1477010443050000	0.747562	0.635575	7.25364	-2.44791e-17	-4.38902e-17	radar	73.7674	0.862916	0.534212	0.859997	0.600045	5.19975	0.00179686
1477010443100000	1.11799	0.52496	7.28898	-0.40524	-0.0378169	lidar	0.809254	1.17385	0.481073	1.11998	0.600225	5.19943	0.00538996
1477010443150000	1.2658	0.55308	7.16578	-0.204323	-0.0212321	radar	2.20022	0.969149	0.397513	1.37996	0.600629	5.19898	0.0107781
1477010443200000	1.63092	0.527163	7.12277	-0.130388	0.0355637	lidar	0.662528	1.65063	0.62469	1.6399	0.601347	5.19839	0.0179597
1477010443250000	1.86273	0.5497	5.98331	-0.0958474	-0.339266	radar	5.88692	1.62331	0.499091	1.89982	0.60247	5.19766	0.0269323
1477010443300000	2.16946	0.550142	5.94542	-0.0756868	-0.232397	lidar	0.600143	2.18882	0.648739	2.1597	0.604086	5.19678	0.0376932
1477010443350000	2.38188	0.620361	5.45401	0.0170038	-0.0037433	radar	5.31069	1.96701	0.557117	2.41954	0.606284	5.19573	0.0502389
1477010443400000	2.65272	0.635081	5.44288	0.0312569	0.0518674	lidar	0.0577955	2.65526	0.66598	2.67932	0.609155	5.1945	0.0645654
1477010443450000	2.91566	0.643777	5.38873	0.0326893	0.0404495	radar	0.0614224	2.92034	0.645898	2.93904	0.612786	5.19309	0.080668
1477010443500000	3.14709	0.650809	5.33845	0.0421924	0.0689859	lidar	1.02939	3.01222	0.637046	3.19869	0.617267	5.19147	0.0985415
1477010443550000	3.43348	0.554606	5.38483	-0.0909985	-0.356853	radar	1.72112	3.56096	0.485311	3.45825	0.622685	5.18963	0.11818
1477010443600000	3.7391	0.451725	5.47527	-0.202717	-0.624669	lidar	2.67847	3.89365	0.311793	3.71772	0.62913	5.18754	0.139576
1477010443650000	4.0157	0.532073	5.49003	-0.080423	-0.217232	radar	3.19112	4.19786	0.698311	3.97708	0.636689	5.18519	0.162724
1477010443700000	4.29018	0.532082	5.47911	-0.0684727	-0.162559	lidar	0.163986	4.30935	0.578564	4.23632	0.645449	5.18256	0.187614
1477010443750000	4.54526	0.578738	5.32048	-0.0184311	-0.0344087	radar	1.28013	4.61908	0.68951	4.49542	0.655498	5.17962	0.214238
1477010443800000	4.72386	0.697573	5.12003	0.0915586	0.201495	lidar	10.5089	4.35143	0.899174	4.75437	0.666921	5.17634	0.242587
1477010443850000	4.97516	0.697147	5.0073	0.0815485	0.162584	radar	1.25438	5.20901	0.66599	5.01315	0.679804	5.1727	0.272649
1477010443900000	5.27521	0.688374	5.09843	0.0626415	0.110671	lidar	3.32415	5.51894	0.648233	5.27175	0.694234	5.16867	0.304413
1477010443950000	5.53593	0.695861	5.2529	0.0619221	0.100401	radar	1.84014	5.22834	0.639362	5.53013	0.710295	5.16422	0.337868
1477010444000000	5.83484	0.706693	5.31867	0.0601776	0.0879896	lidar	1.87029	6.022	0.708619	5.78828	0.728072	5.15932	0.372999
1477010444050000	6.07595	0.636051	5.11525	0.00514241	-0.0129828	radar	3.97745	5.89392	0.373584	6.04618	0.747647	5.15393	0.409793
1477010444100000	6.32726	0.745032	5.11096	0.0764243	0.104561	lidar	2.83033	6.34249	0.948833	6.30379	0.769103	5.14803	0.448233
1477010444150000	6.57676	0.779249	5.06787	0.090936	0.119318	radar	0.159511	6.62134	0.836138	6.5611	0.792523	5.14157	0.488305
1477010444200000	6.82238	0.7732	5.05485	0.0784519	0.0904084	lidar	0.316276	6.78214	0.714036	6.81808	0.817988	5.13452	0.52999
1477010444250000	7.06364	0.758513	4.87723	0.0613395	0.056052	radar	1.99127	7.29121	0.630741	7.07469	0.845578	5.12685	0.573269
1477010444300000	7.27541	0.839292	4.82849	0.105995	0.120586	lidar	1.9987	7.13735	0.957217	7.3309	0.875373	5.11851	0.618123
1477010444350000	7.57552	0.853194	5.17484	0.100957	0.103145	radar	5.4264	8.08349	0.819605	7.58668	0.907449	5.10946	0.664531
1477010444400000	7.83077	0.825281	5.16405	0.0733782	0.0532858	lidar	0.788683	7.80533	0.719126	7.84199	0.941886	5.09966	0.712469
